npts,lower_ci_95,upper_ci_95,medians
50,0.4110483546336864,0.5082928789515362,0.47325129932979315
60,0.3829635176959495,0.4999974128755448,0.44719055882111913
70,0.31696894580347024,0.49170194679955326,0.44594405856887087
80,0.22165741840798045,0.48340648072356185,0.45154879609321075
90,0.14858561221987104,0.47511101464757033,0.44604176891430164
100,0.10634630669087379,0.4668155485715789,0.41145997455230554
110,0.08098253872582242,0.4585200824955874,0.33860417055962055
120,0.05853734522955071,0.4502246164195959,0.25333015461758607
130,0.03936200925669491,0.43612449455654045,0.1891323726654472
140,0.025564229135072683,0.4162197169064209,0.15362769983286867
150,0.017495287919320295,0.39631493925630135,0.1285554404399348
160,0.01329086548997219,0.360892065917089,0.09976355171165212
170,0.011086641727562812,0.32546919257787665,0.07403504959003492
180,0.01063715275485935,0.29324493171870314,0.06287583109682406
190,0.010469615308464967,0.2642192833395685,0.06604147046467954
200,0.010338565511146851,0.23519363496043383,0.07153721913718065
210,0.010244003362905003,0.2061679865812992,0.06975235896331632
220,0.010185928863739424,0.17714233820216455,0.06265582781181527
230,0.010164342013650116,0.15764888551618134,0.055003551691830084
240,0.010179242812637074,0.14768762852334963,0.04906916172875984
250,0.010230631260700299,0.1377263715305179,0.04464399416424986
260,0.010318507357839794,0.1277651145376862,0.0414114593754345
270,0.010442871104055559,0.11780385754485445,0.039054967739448054
280,0.010576379044109248,0.11177177026108401,0.037263436168190237
290,0.010554970446570798,0.10966885268637486,0.035852431873163754
300,0.010351301856201868,0.10756593511166568,0.0347641723654744
310,0.009965373273002454,0.10546301753695653,0.03394638169099328
320,0.009397184696972562,0.10336009996224738,0.03334678389559153
330,0.008731094120836938,0.10125718238753821,0.03291310302514027
340,0.008473249500944071,0.09915426481282906,0.032593063125510635
350,0.008708008830018722,0.09705134723811988,0.032334388242573744
360,0.009121582188978648,0.09494842966341073,0.032084802422200714
370,0.00940017965874162,0.09284551208870157,0.03179202971026268
380,0.009543801239307639,0.09074259451399241,0.03140379415263077
390,0.009552446930676702,0.08863967693928325,0.0308678197951761
400,0.009426116732848811,0.08653675936457408,0.03013183068376979
410,0.009242058145867139,0.08443384178986493,0.029037221593519465
420,0.009077518669774862,0.08233092421515578,0.027000070216478638
430,0.008932498304571976,0.0802280066404466,0.023384895887372064
440,0.008806997050258485,0.07812508906573745,0.018815948949922726
450,0.008701014906834387,0.07602217149102829,0.015177210756851908
460,0.008614551874299681,0.07391925391631914,0.0139246973088298
470,0.00854760795265437,0.07181633634160997,0.014583479544583448
480,0.008500183141898453,0.0697134187669008,0.01619589213735413
490,0.008472277442031929,0.06761050119219165,0.01780426976038313
500,0.008463890853054795,0.06550758361748249,0.01845094708691168
510,0.008465073957472345,0.06461308461333547,0.01766893996565253
520,0.008465877337789862,0.06371858560918846,0.016953988947204242
530,0.008466300994007346,0.06282408660504143,0.018192560340400885
540,0.008466344926124797,0.06192958760089442,0.020972145857650313
550,0.008466009134142218,0.0610350885967474,0.02258126261493412
560,0.008465293618059607,0.06014058959260039,0.021043559733207463
570,0.008464198377876962,0.05924609058845337,0.017723036022263484
580,0.008462723413594284,0.05835159158430635,0.01476598673453787
590,0.008460868725211576,0.05745709258015934,0.013104514592427199
600,0.008458634312728835,0.056562593576012316,0.0124565297882889
610,0.008456020176146061,0.0556680945718653,0.012487151534913494
620,0.008453026315463255,0.05477359556771828,0.012861499045091493
630,0.008449652730680416,0.05387909656357127,0.013252058741374367
640,0.008445899421797545,0.052984597559424244,0.013500762870815542
650,0.008441766388814642,0.05209009855527723,0.013618989504970397
660,0.008437253631731707,0.05119559955113022,0.013625483925155264
670,0.00843236115054874,0.050301100546983196,0.01353899141268648
680,0.00842708894526574,0.04940660154283617,0.013378257248880377
690,0.008421437015882707,0.04851210253868916,0.013162026715053288
700,0.008415405362399644,0.04761760353454215,0.012909045092521543
710,0.008408993984816546,0.04672310453039512,0.012638057662601485
720,0.008402202883133416,0.0458286055262481,0.01236780970660944
730,0.008395032057350255,0.044934106522101086,0.012116631708042986
740,0.008387481507467062,0.04403960751795408,0.01189331380056831
750,0.008379551233483835,0.043145108513807054,0.011697105768020199
760,0.008371241235400577,0.04225060950966004,0.011526842596414684
770,0.008362551513217286,0.04135611050551302,0.011381359271767807
780,0.008353482066933964,0.040461611501366,0.011259490780095586
790,0.00834403289655061,0.03956711249721899,0.011160072107414069
800,0.008334204002067223,0.03867261349307197,0.011081938239739283
810,0.008323995383483803,0.03777811448892495,0.011023924163087256
820,0.008313407040800351,0.036883615484777935,0.010984864863474032
830,0.008302438974016866,0.03598911648063091,0.010963595326915637
840,0.008291091183133347,0.0350946174764839,0.010958950539428103
850,0.0082793636681498,0.03420011847233688,0.010969765487027466
860,0.008267256429066219,0.03330561946818987,0.010994875155729757
870,0.008254769465882605,0.03241112046404285,0.011033114531551013
880,0.008241902778598958,0.03151662145989583,0.011083318600507264
890,0.008228656367215282,0.030622122455748815,0.011144322348614542
900,0.008215030231731571,0.029727623451601796,0.011214960761888885
910,0.008201024372147828,0.02883312444745478,0.011294068826346322
920,0.008186638788464054,0.02793862544330776,0.01138048152800289
930,0.008171873480680245,0.027044126439160744,0.011473033852874612
940,0.008156728448796405,0.026149627435013725,0.011570560786977534
